082,,Fer,1211649606,1,#EVERY_DAY,JOKES,DEAF+HEARING
083,,,1211649652,2,#POLICE,ANECDOTES,
084,,,1211649695,3,#LION,ANECDOTES,
085,,,1211649810,4,#HEARING AID,MEMORIES,
086,,,1211649868,5,#GAMES,MEMORIES,
087,,Minho,1211649903,1,#VOICES,JOKES,DEAF+HEARING
088,,,1211649973,2,#VIBRATION,ANECDOTES,DEAF+HEARING
089,,,1211649974,4,#GORILLA,JOKES,DEAF+HEARING
090,,Vitoria,1211650043,1,#WI-FI,ANECDOTES,DEAF+HEARING
091,,,1211650073,3,#FEAR,MEMORIES,DEAF+HEARING
092,,,1211650093,4,#SUBWAY,MEMORIES,DEAF+HEARING
093,2026 Alger,Atifa,1211695579,1,#SEAT BELT,JOKES,
094,,,1211695373,2,#ELEVATOR,RIDDLES,
095,,,1211695369,3,#KEYS,ANECDOTES,
096,,,1211695371,4,#CAKE,MISUNDERSTANDINGS,
097,,,1211695571,5,#HIKING,ANECDOTES,
098,,,1211695576,6,#COMMUNICATION,MISUNDERSTANDINGS,DEAF+HEARING
099,,Hamida,1211695579,1,#SHEEP,JOKES,DEAF+HEARING
100,,,1211695608,2,#TORTOISE,ANECDOTES,
101,,,1211695786,3,#DINARS,ANECDOTES,
102,,,1211695814,4,#CODA,MISUNDERSTANDINGS,DEAF+HEARING
103,,,1211695814,5,#GAME,MISUNDERSTANDINGS,DEAF+HEARING
104,,,1211696207,6,#BANK,JOKES,
105,,Hassen,1211695913,1,#RIDER,JOKES,DEAF+HEARING
106,,,1211695919,2,#DRIVING LICENSE,MEMORIES,DEAF+HEARING
107,,,1211695935,3,#HOSPITAL,MISUNDERSTANDINGS,DEAF+HEARING
108,,,1211696102,4,#COLORS,ANECDOTES,
109,,,1211696201,5,#WORK,ANECDOTES,DEAF+HEARING
110,,,1211696207,6,#FATHER,MEMORIES,DEAF+HEARING
111,,Lamine,1211696232,1,#DEAF PILOT,JOKES,DEAF+HEARING
112,,,1211696255,2,#CALL OF NAURE,ANECDOTES,DEAF+HEARING
113,,,1211696303,3,#BLACKBOARD,ANECDOTES,
114,,,1211696346,4,#GLASS,MISUNDERSTANDINGS,DEAF+HEARING
115,,,1211696434,5,#KISS,MISUNDERSTANDINGS,DEAF+HEARING
116,,,1211696487,6,#RESTAURANT,MEMORIES,
117,,Mahieddine,1211696516,1,#RAMADAN,JOKES,
118,,,1211696545,2,#WATERMELON,RIDDLES,
119,,,1211696583,3,#SHOE,MEMORIES,
120,,,1211696645,4,#CAR,MISUNDERSTANDINGS,
121,,,1211696657,5,#CALL OF NATURE,MEMORIES,
122,,,1211696758,6,#SHEEP’S TONGUE,MEMORIES,
123,,Mustapha,1211696766,1,#TRAIN,JOKES,
124,,,1211696779,2,#MATCHES,RIDDLES,
125,,,1211696842,3,#TEACHER,ANECDOTES,
126,,,1211696850,4,#BIRTH CERTIFICATE,MISUNDERSTANDINGS,
127,,,1211696927,5,#GOLDEN DREAM,JOKES,
128,,,1211696927,6,#DONKEY,ANECDOTES,
129,2026 Barcelona,Carlota,1211664592,1,#TELEPHONE,ANECDOTES,DEAF+HEARING
130,,,1211664594,2,#SHOP ASSISTANT,MISUNDERSTANDINGS,DEAF+HEARING
131,,,1211664595,3,#RESTAURANT,MISUNDERSTANDINGS,DEAF+HEARING
132,,,1211664593,4,#SUBTÍTOLS,MEMORIES,DEAF+HEARING
133,,,1211664727,5,#CONFLICT,MEMORIES,DEAF+HEARING
134,,,1211664737,6,#GRANDMOTHER,MEMORIES,DEAF+HEARING
135,,,1211664770,7,#NEW SIGH,MEMORIES,DEAF+HEARING
136,,Frank,1211664797,1,#DEAF SPERM,JOKES,DEAF+HEARING
137,,,1211664811,2,#INTERPRETER,JOKES,DEAF+HEARING
138,,,1211664836,3,#APPLAUSE,JOKES,DEAF+HEARING
139,,,1211664901,4,#FUCK,JOKES,DEAF+HEARING
140,,,1211664983,5,#BEAUTIFUL,MEMORIES,DEAF+HEARING
141,,,1211665131,6,#THIEVES,JOKES,
142,,,1211665136,7,#CALL OF NATURE,JOKES,DEAF+HEARING
143,,Isaac,1211665292,1,,,
144,,,1211665292,2,,,
145,,,1211665375,3,,,
146,,,1211665396,4,,,
147,,,1211665551,5,,,
148,,,1211665601,6,,,
149, ,,1211665661,7,,,
150,,Laura,1211665716,1,,,
151,,,1211665778,2,,,
152,,,1211665838,3,,,
153,,,1211666018,4,,,
154,,,1211666081,5,,,
155,,,1211666104,6,,,
156,,Pepita,1211666120,1,,,
157,,,1211666416,2,,,
158,,,1211666474,3,,,
159,,,1211666657,4,,,
160,,,1211666728,5,,,
161,,,1211666771,6,,,
162,,,1211666953,7,,,
163,,Raquel,1211667039,1,,,
164,,,1211667164,2,,,
165,,,1211667171,3,,,
166,,,1211667301,4,,,
167,,,1211667321,5,,,
168,,,1211667536,6,,,
169,2026 Marsella,Alysone,1211690992,1,,,
170,,,1211690991,2,,,
171,,,1211690990,3,,,
172,,,1211690989,4,,,
173,,,1211691187,5,,,
174,,,1211691213,6,,,
175,,Hugo,1211691220,1,,,
176,,,1211691224,2,,,
177,,,1211691420,3,,,
178,,,1211691531,4,,,
179,,,1211691595,5,,,
180,,,1211691213,6,,,
181,,Lola,1211691881,1,,,
182,,,1211692071,2,,,
183,,,1211692170,3,,,
184,,,1211692225,4,,,
185,,,1211692573,5,,,
186,,,1211692820,6,,,
187,2026 Roma,Carolina,1211703432,1,#FUNERAL,JOKES,
188,,,1211703431,2,#FAKE DEAF,ANECDOTES,DEAF+HEARING
189,,,1211703433,3,#HARD OF HEARING,ANECDOTES,
190,,,1211703430,4,#ELEVATOR,JOKES,
191,,,1211703627,5,#PARTY,ANECDOTES,DEAF+HEARING
192,,,1211703629,6,#TREE,JOKES,DEAF+HEARING
193,,Lorenzo,1211703683,1,#DEAF SPERM,JOKES,DEAF+HEARING
194,,,1211703688,2,#TATTOO,MISUNDERSTANDINGS,
195,,,1211703816,3,#NEW YORK,JOKES,
196,,,1211703840,4,#ACCIDENT,JOKES,
197,,,1211703947,5,#RABBIT,JOKES,
198,,,1211703991,6,#INTERPRETER,MISUNDERSTANDINGS,DEAF+HEARING
199,,Massimo,1211703947,1,#MUSIC,MISUNDERSTANDINGS,DEAF+HEARING
200,,,1211704191,2,#NAILS,JOKES,DEAF+HEARING
201,,,1211704218,3,#POLICE,ANECDOTES,
202,,,1211704360,4,#BELLS,JOKES,
203,,,1211704361,5,#DENTURE,JOKES,
204,,,1211704479,6,#CODA,MEMORIES,
205,,Olivier,1211704756,1,#CROSSES,JOKES,
206,,,1211704757,2,#LIGHTS,MEMORIES,
207,,,1211704762,3,#CALL OF NATURE,JOKES,
208,,,1211704762,4,#MAGIC VIAGRA,JOKES,
209,,,1211704942,5,#HEARING AID,MEMORIES,
210,,Paola,1211704953,1,#TRAIN,JOKES,
211,,,1211704987,2,#BAR,ANECDOTES,
212,,,1211705205,3,#PRESIDENT,JOKES,
213,,,1211705244,4,#HUNTING,JOKES,
214,,,1211705253,5,#ACTOR,JOKES,
215,,Serena,1211705280,1,#SKYROCKET,JOKES,
216,,,1211705365,2,#NUMBERS,RIDDLES,
217,,,1211705418,3,#TRAIN,JOKES,
218,,,1211705553,4,#CALL OF NATURE,JOKES,
219,,,1211705583,5,#MEATBALLS,JOKES,
220,,,1211705625,6,#NUMBERS,RIDDLES,
221,2026 Tunis,Aya,1211711234,1,,,
222,,,,2,,,
223,,,1211711232,3,,,
224,,,1211711233,4,,,
225,,,1211711369,5,,,
226,,Ayoub,1211711370,1,,,
227,,,1211711391,2,,,
228,,,1211711451,3,,,
229,,,1211711496,4,,,
230,,,1211711502,5,,,
231,,Imen,1211711542,1,,,
232,,,1211711580,2,,,
233,,,1211711607,3,,,
234,,,1211711622,4,,,
235,,,1211711660,5,,,
236,,Malek,1211711696,1,,,
237,,,1211711751,2,,,
238,,,1211711762,3,,,
239,,,1211711765,4,,,
240,,,1211711828,5,,,
241,,Nour,1211711873,1,,,
242,,,1211711905,2,,,
243,,,1211711990,3,,,
244,,,1211712000,4,,,
245,,,1211712009,5,,,
246,,NourAlislem,1211712035,1,,,
247,,,1211712098,2,,,
248,,,1211712110,3,,,
249,,,1211712123,4,,,
250,,,1211712216,5,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,STATS,CLIPS,,#REF!,,,
,,,,#REF!,,,
,,,,#REF!,,,
,,,,#REF!,,,
,,,,,,,
,,,,,,,
,,EXPORTS,,#REF!,,,
,,,,#REF!,,,
,,,,#REF!,,,
,,,,#REF!,,,
